"ave_melanism_dorsal","ave_melanism_ventral","MAT","AnnualPrecipitation","MajorAxis_Dorsal","siteName","IL_Site","Tribe","Genus","SpeciesName","longitude","latitude","meanSoilMoisture","beetleAbundance","meanSoilTemp","mammalAbundance","meanVPD","rsds"
200.088,211.905,4.75,520.1,3.683,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Agonoleptus","Agonoleptus conjunctus",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
169.175,194.577,4.75,520.1,7.607,"Chase Lake National Wildlife Refuge NEON","WOOD","Platynini","Agonum","Agonum gratiosum",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
197.233,187.576,4.75,520.1,8.683,"Chase Lake National Wildlife Refuge NEON","WOOD","Platynini","Agonum","Agonum gratiosum",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
172.884,189.224,4.75,520.1,7.614,"Chase Lake National Wildlife Refuge NEON","WOOD","Platynini","Agonum","Agonum gratiosum",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
185.615,183.544,4.75,520.1,8.472,"Chase Lake National Wildlife Refuge NEON","WOOD","Platynini","Agonum","Agonum gratiosum",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
173.387,149.479,4.75,520.1,7.907,"Chase Lake National Wildlife Refuge NEON","WOOD","Platynini","Agonum","Agonum gratiosum",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
181.074,179.184,4.75,520.1,7.74,"Chase Lake National Wildlife Refuge NEON","WOOD","Platynini","Agonum","Agonum gratiosum",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
137.198,130.663,4.75,520.1,12.092,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus harrisii",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
170.991,136.678,4.75,520.1,12.429,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus harrisii",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
160.987,169.064,4.75,520.1,13.555,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus harrisii",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
157.929,160.298,4.75,520.1,11.692,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus harrisii",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
146.99,135.744,4.75,520.1,11.138,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus harrisii",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
157.015,137.6,4.75,520.1,11.565,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus harrisii",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
154.347,139.737,4.75,520.1,12.692,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus nigrita",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
177.035,155.231,4.75,520.1,12.803,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus nigrita",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
144.382,136.319,4.75,520.1,12.327,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus nigrita",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
135.828,178.327,4.75,520.1,12.229,"Chase Lake National Wildlife Refuge NEON","WOOD","Harpalini","Anisodactylus","Anisodactylus nigrita",-99.24133,47.1282,416,80.8571428571429,6.94289699737611,677.42099280835,468.458333333333,14.421
